Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2018-0183-JPN,2018,0183,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Hyogo, Kyoto, Nara, Osaka Prefectures",,,,,,,,6,Richter,34.826,135.64,07:58,,2018,6,18,2018,6,18,5,417,20298,,20715,,,,,3250000,3787745,85.80302606,1,1662;1671;1677;1682,,"Hyoogo, Kyooto, Nara, Oosaka (Adm1)."
2019-0322-JPN,2019,0322,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,"Yamagata, Miyagi, Niigata,Ishikawa (Honshu Island)",,"Slide (land, mud, snow, rock)",,,,,,6,Richter,38.637,139.48,,,2019,6,18,2019,6,18,,28,432,,460,,,,,,,87.35800677,1,1664;1673;1678;1695,,"Isikawa, Miyagi, Niigata, Yamagata (Adm1)."
1905-0009-JPN,1905,0009,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Aki,,,,,,,,8,Richter,34,132,14:39,,1905,6,2,1905,6,2,11,,177,,177,,,,,,,3.077011162,,,,
1909-0021-JPN,1909,0021,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Oomi,,Tsunami/Tidal wave,,,,,,7,Richter,35.4,136.3,15:30,,1909,8,14,1909,8,14,41,,,2928,2928,,,,,,,3.077011162,,,,
1911-0024-JPN,1911,0024,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Ryukyu Islands,,,,,,,,8,Richter,28,130,23:26,,1911,6,15,1911,6,15,12,,,1266,1266,,,,,,,3.190974538,,,,
1922-0015-JPN,1922,0015,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Kyushu,,,,,,,,,Richter,32.7,130.3,,,1922,12,8,1922,12,8,27,,,,,,,,,,,5.732357831,,,,
1925-0011-JPN,1925,0011,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Tajima (Honshu),,,,,,,,7,Richter,35.423,135.007,11:09,,1925,5,23,1925,5,23,395,,,9999,9999,,,,,,,6.005869934,,,,
1939-0026-JPN,1939,0026,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Honshu,,Tsunami/Tidal wave,,,,,,7,Richter,39.945,139.682,14:58,,1939,5,1,1939,5,1,27,52,,1437,1489,,,,,,,4.763669132,,,,
1952-0038-JPN,1952,0038,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Hokkaido,,,,,,,,7,Richter,41.831,143.525,02:03,,1952,3,10,1952,3,10,,17,,339,356,,,,,,,9.094277433,,,,
1961-0061-JPN,1961,0061,,Natural,Geophysical,Earthquake,Ground movement,,,Japan,JPN,Eastern Asia,Asia,Honshu,,,,,,,,7,Richter,36,136.7,14:33,,1961,8,19,1961,8,19,10,,,,,,,,,,,10.21396373,,,,
